Row Number,CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],ID,Memory Usage %,Timestamp [hr-m-s]
1,8,20799.994672,17749.328786773338,85.33333333333334,20756480.0,3858758.4,0.0,10.666666666666666,4564.2,84.4,VM008,18.59062037493833,1970-01-16 22:18:34.880
2,8,20799.994672,14544.396274396,69.925,20756480.0,4026529.6,5.2,9.8,5617.266666666666,78.66666666666667,VM008,19.39890386038481,1970-01-16 22:18:35.136
3,8,20799.994672,10654.797270732,51.225,20756480.0,4026531.2,2.6,7.2,7232.133333333333,75.4,VM008,19.39891156882092,1970-01-16 22:18:35.392
4,8,20799.994672,6808.531589301333,32.733333333333334,20756480.0,3453308.8,2.6,5.066666666666666,1838.5333333333333,34.13333333333333,VM008,16.637256413418843,1970-01-16 22:18:35.776
5,8,20799.994672,7935.197967368,38.15,20756480.0,2306865.333333333,0.0,7.133333333333334,4631.6,55.4,VM008,11.11395252631146,1970-01-16 22:18:36.032
6,8,20799.994672,1371.0663154626666,6.591666666666666,20756480.0,1509948.5333333334,2.6666666666666665,3.066666666666667,21.33333333333333,2.6,VM008,7.274588626459464,1970-01-16 22:18:36.288
7,8,20799.994672,71.06664846266666,0.3416666666666666,20756480.0,377484.8,0.0,1.0,0.0,1.0,VM008,1.8186359151455351,1970-01-16 22:18:36.672
8,8,20799.994672,71.06664846266666,0.3416666666666666,20756480.0,55923.2,0.0,8.333333333333334,0.2,1.1333333333333333,VM008,0.2694252590034534,1970-01-16 22:18:36.928
9,8,20799.994672,71.06664846266666,0.3416666666666666,20756480.0,0.0,0.0,1.0666666666666669,0.0,1.0,VM008,0.0,1970-01-16 22:18:37.184
10,8,20799.994672,71.06664846266666,0.3416666666666666,20756480.0,41942.4,0.0,1.3333333333333333,0.0,1.0,VM008,0.20206894425259,1970-01-16 22:18:37.568
11,8,20799.994672,69.33331557333335,0.3333333333333333,20756480.0,0.0,0.0,1.2,0.0,1.0,VM008,0.0,1970-01-16 22:18:37.824
12,8,20799.994672,71.06664846266666,0.3416666666666666,20756480.0,41942.4,0.0,1.1333333333333333,0.0,1.0,VM008,0.20206894425259,1970-01-16 22:18:38.208
13,8,20799.994672,71.06664846266666,0.3416666666666666,20756480.0,167770.13333333333,0.0666666666666666,2.066666666666667,0.0666666666666666,1.0,VM008,0.8082783464890643,1970-01-16 22:18:38.464
14,8,20799.994672,71.06664846266666,0.3416666666666666,20756480.0,97866.13333333332,0.0,0.8666666666666667,0.0,1.0,VM008,0.4714967727347475,1970-01-16 22:18:38.720
15,8,20799.994672,71.06664846266666,0.3416666666666666,20756480.0,27961.866666666665,0.0,1.2,0.0,1.0,VM008,0.1347139142410787,1970-01-16 22:18:39.104
16,8,20799.994672,69.33331557333335,0.3333333333333333,20756480.0,111846.93333333332,0.0,0.9333333333333332,0.0,1.0,VM008,0.5388530874856109,1970-01-16 22:18:39.360
17,8,20799.994672,74.53331424133334,0.3583333333333333,20756480.0,27961.6,0.0,2.533333333333333,0.0,1.0,VM008,0.1347126295017267,1970-01-16 22:18:39.616
18,8,20799.994672,72.79998135199999,0.35,20756480.0,0.0,0.0,0.8,0.0,1.0,VM008,0.0,1970-01-16 22:18:40.000
19,8,20799.994672,126.53330092133336,0.6083333333333334,20756480.0,55923.2,0.0,1.0,67.4,78.53333333333333,VM008,0.2694252590034534,1970-01-16 22:18:40.256
20,8,20799.994672,71.06664846266666,0.3416666666666666,20756480.0,167769.6,0.0,1.4666666666666666,0.0,1.0,VM008,0.8082757770103601,1970-01-16 22:18:40.512
21,8,20799.994672,128.2666338106667,0.6166666666666667,20756480.0,852839.4666666667,124.46666666666668,21.0,0.0,1.3333333333333333,VM008,4.108786589376747,1970-01-16 22:18:40.896
22,8,20799.994672,3880.932339217333,18.65833333333333,20756480.0,1370137.6,2.6,4.866666666666666,6619.133333333333,56.06666666666667,VM008,6.601011346817957,1970-01-16 22:18:41.152
23,8,20799.994672,1079.866390054667,5.191666666666666,20756480.0,2949992.0,31.4,6.133333333333334,18.866666666666667,5.533333333333333,VM008,14.212390540207204,1970-01-16 22:18:41.408
24,8,20799.994672,2563.599343324,12.325,20756480.0,964688.2666666668,2.6,3.6,1229.6666666666667,11.866666666666667,VM008,4.647648670037824,1970-01-16 22:18:41.792
25,8,20799.994672,14748.929555337334,70.90833333333333,20756480.0,2768239.2,0.0,1.3333333333333333,4949.333333333333,43.6,VM008,13.336746885791811,1970-01-16 22:18:42.048
26,8,20799.994672,22004.661030086667,105.79166666666666,20756480.0,10010403.2,0.0,1.1333333333333333,385.53333333333336,5.6,VM008,48.227845954612725,1970-01-16 22:18:42.304
27,8,20799.994672,21808.794413592,104.85,20756480.0,9535049.866666667,0.0,8.466666666666667,304.06666666666666,3.2666666666666666,VM008,45.93770170407828,1970-01-16 22:18:42.688
28,8,20799.994672,21872.927730497337,105.15833333333336,20756480.0,5690270.4,0.0,0.9333333333333332,0.8,0.9333333333333332,VM008,27.414428650715344,1970-01-16 22:18:42.944
29,8,20799.994672,21865.99439894,105.125,20756480.0,3942644.533333333,0.0,2.1333333333333333,0.0,0.8666666666666667,VM008,18.99476468714027,1970-01-16 22:18:43.200
30,8,20799.994672,21874.661063386666,105.16666666666666,20756480.0,4376054.666666667,0.0,2.333333333333333,0.3333333333333333,0.9333333333333332,VM008,21.08283613920408,1970-01-16 22:18:43.584
31,8,20799.994672,21819.194410928005,104.9,20756480.0,5186954.133333334,0.0,1.933333333333333,0.4,0.8666666666666667,VM008,24.98956534698241,1970-01-16 22:18:43.840
32,8,20799.994672,21865.99439894,105.125,20756480.0,4362074.666666667,0.0,0.9333333333333332,0.0,1.0,VM008,21.01548367867128,1970-01-16 22:18:44.096
33,8,20799.994672,21891.99439228,105.25,20756480.0,4753542.4,0.0,0.9333333333333332,0.4666666666666667,0.9333333333333332,VM008,22.90148618648249,1970-01-16 22:18:44.480
34,8,20799.994672,21888.52772650133,105.23333333333332,20756480.0,4445961.066666666,0.0,1.0666666666666669,0.4,0.9333333333333332,VM008,21.41962927561256,1970-01-16 22:18:44.736
35,8,20799.994672,21867.72773182933,105.13333333333334,20756480.0,4711601.333333333,0.0,0.9333333333333332,0.0666666666666666,0.6666666666666666,VM008,22.699423665926656,1970-01-16 22:18:44.992
36,8,20799.994672,21871.194397608,105.15,20756480.0,4362073.6,0.0,1.1333333333333333,0.2666666666666666,0.9333333333333332,VM008,21.01547853971386,1970-01-16 22:18:45.376
37,8,20799.994672,21890.261059390665,105.24166666666666,20756480.0,4404018.4,0.0,1.0666666666666669,0.0,0.9333333333333332,VM008,21.217559046620625,1970-01-16 22:18:45.632
38,8,20799.994672,21850.394402936,105.05,20756480.0,4809467.466666667,0.0,0.8,0.0,0.8666666666666667,VM008,23.170920438661405,1970-01-16 22:18:45.888
39,8,20799.994672,21846.927737157337,105.03333333333336,20756480.0,4473922.133333334,0.0,1.0666666666666669,0.0,0.8666666666666667,VM008,21.55433933563559,1970-01-16 22:18:46.272
40,8,20799.994672,21886.794393612,105.225,20756480.0,4124397.6,0.0,1.2,0.0666666666666666,1.0,VM008,19.87040962629501,1970-01-16 22:18:46.528
41,8,20799.994672,21867.72773182933,105.13333333333334,20756480.0,4236245.066666666,0.0,1.933333333333333,0.0666666666666666,0.9333333333333332,VM008,20.40926528325933,1970-01-16 22:18:46.784
42,8,20799.994672,21834.794406932,104.975,20756480.0,4837428.8,0.0,2.8,0.0,0.6,VM008,23.305631783423777,1970-01-16 22:18:47.168
43,8,20799.994672,21874.661063386666,105.16666666666666,20756480.0,4501884.266666667,0.0,1.5333333333333334,0.0,0.9333333333333332,VM008,21.689054534616016,1970-01-16 22:18:47.424
44,8,20799.994672,21862.52773316133,105.10833333333332,20756480.0,5228897.066666666,0.0,1.0,0.0,0.9333333333333332,VM008,25.191636860713697,1970-01-16 22:18:47.808
45,8,20799.994672,21886.794393612,105.225,20756480.0,4543827.733333333,0.0,1.0666666666666669,0.6,1.0,VM008,21.891128617826016,1970-01-16 22:18:48.064
46,8,20799.994672,21860.794400272003,105.1,20756480.0,4334113.333333333,0.0,1.0,0.0666666666666666,0.8666666666666667,VM008,20.880772333908894,1970-01-16 22:18:48.320
47,8,20799.994672,21848.661070046663,105.04166666666666,20756480.0,3900701.3333333335,0.0,1.1333333333333333,0.0,0.7333333333333333,VM008,18.792691888669623,1970-01-16 22:18:48.704
48,8,20799.994672,21869.461064718667,105.14166666666668,20756480.0,4557809.6,0.0,1.2,0.0666666666666666,0.8666666666666667,VM008,21.958490071534285,1970-01-16 22:18:48.960
49,8,20799.994672,21888.52772650133,105.23333333333332,20756480.0,4236246.666666667,0.0,0.8666666666666667,0.2666666666666666,0.8666666666666667,VM008,20.409272991695445,1970-01-16 22:18:49.216
50,8,20799.994672,21846.927737157337,105.03333333333336,20756480.0,4501884.8,0.0,9.333333333333334,0.6666666666666666,0.9333333333333332,VM008,21.68905710409472,1970-01-16 22:18:49.600
51,8,20799.994672,21872.927730497337,105.15833333333336,20756480.0,4487904.533333333,0.0,1.0666666666666669,0.2,0.8,VM008,21.62170335882256,1970-01-16 22:18:49.856
52,8,20799.994672,21876.394396276,105.175,20756480.0,4907333.333333333,0.0,0.7333333333333333,0.2,0.8666666666666667,VM008,23.6424159266568,1970-01-16 22:18:50.112
53,8,20799.994672,21852.127735825336,105.05833333333334,20756480.0,3942644.0,0.0,2.2,0.4,0.9333333333333332,VM008,18.99476211766157,1970-01-16 22:18:50.496
54,8,20799.994672,21876.394396276,105.175,20756480.0,3956624.8,0.0,2.466666666666667,0.0,0.7333333333333333,VM008,19.06211843241243,1970-01-16 22:18:50.752
55,8,20799.994672,21853.861068714665,105.06666666666666,20756480.0,4208284.266666667,0.0,1.933333333333333,0.2666666666666666,1.0666666666666669,VM008,20.27455650797566,1970-01-16 22:18:51.008
56,8,20799.994672,21900.66105672666,105.29166666666666,20756480.0,4250227.466666667,0.0,0.8,0.0,0.8666666666666667,VM008,20.47662930644631,1970-01-16 22:18:51.392
57,8,20799.994672,21857.32773449333,105.08333333333334,20756480.0,3663023.2,0.0,0.9333333333333332,0.0,0.8666666666666667,VM008,17.647612697335965,1970-01-16 22:18:51.648
58,8,20799.994672,21827.861075374665,104.94166666666666,20756480.0,4459940.266666667,0.0,0.9333333333333332,0.0,1.0,VM008,21.48697788192732,1970-01-16 22:18:51.904
